,0,1
128,CKSAAGP_aromatic.negativecharger.gap4,1616
129,CKSAAGP_aromatic.uncharger.gap4,1121
130,CKSAAGP_postivecharger.alphaticr.gap4,1036
131,CKSAAGP_postivecharger.aromatic.gap4,1536
132,CKSAAGP_postivecharger.postivecharger.gap4,619
133,CKSAAGP_postivecharger.negativecharger.gap4,1652
134,CKSAAGP_postivecharger.uncharger.gap4,874
135,CKSAAGP_negativecharger.alphaticr.gap4,442
136,CKSAAGP_negativecharger.aromatic.gap4,698
137,CKSAAGP_negativecharger.postivecharger.gap4,1770
138,CKSAAGP_negativecharger.negativecharger.gap4,1137
139,CKSAAGP_negativecharger.uncharger.gap4,1071
140,CKSAAGP_uncharger.alphaticr.gap4,984
141,CKSAAGP_uncharger.aromatic.gap4,1008
142,CKSAAGP_uncharger.postivecharger.gap4,1284
143,CKSAAGP_uncharger.negativecharger.gap4,1139
144,CKSAAGP_uncharger.uncharger.gap4,1
145,CKSAAGP_alphaticr.alphaticr.gap5,60
146,CKSAAGP_alphaticr.aromatic.gap5,113
147,CKSAAGP_alphaticr.postivecharger.gap5,825
148,CKSAAGP_alphaticr.negativecharger.gap5,828
149,CKSAAGP_alphaticr.uncharger.gap5,328
150,CKSAAGP_aromatic.alphaticr.gap5,1060
151,CKSAAGP_aromatic.aromatic.gap5,3099
152,CKSAAGP_aromatic.postivecharger.gap5,1198
153,CKSAAGP_aromatic.negativecharger.gap5,1823
154,CKSAAGP_aromatic.uncharger.gap5,1149
155,CKSAAGP_postivecharger.alphaticr.gap5,849
156,CKSAAGP_postivecharger.aromatic.gap5,1741
157,CKSAAGP_postivecharger.postivecharger.gap5,1123
158,CKSAAGP_postivecharger.negativecharger.gap5,947
159,CKSAAGP_postivecharger.uncharger.gap5,77
160,CKSAAGP_negativecharger.alphaticr.gap5,1274
161,CKSAAGP_negativecharger.aromatic.gap5,1795
162,CKSAAGP_negativecharger.postivecharger.gap5,988
163,CKSAAGP_negativecharger.negativecharger.gap5,1427
164,CKSAAGP_negativecharger.uncharger.gap5,763
165,CKSAAGP_uncharger.alphaticr.gap5,297
166,CKSAAGP_uncharger.aromatic.gap5,362
167,CKSAAGP_uncharger.postivecharger.gap5,1857
168,CKSAAGP_uncharger.negativecharger.gap5,1058
169,CKSAAGP_uncharger.uncharger.gap5,22
170,CTDC_hydrophobicity_PRAM900101.G1,692
171,CTDC_hydrophobicity_PRAM900101.G2,245
172,CTDC_hydrophobicity_PRAM900101.G3,172
173,CTDC_hydrophobicity_ARGP820101.G1,491
174,CTDC_hydrophobicity_ARGP820101.G2,738
175,CTDC_hydrophobicity_ARGP820101.G3,344
176,CTDC_hydrophobicity_ZIMJ680101.G1,351
177,CTDC_hydrophobicity_ZIMJ680101.G2,574
178,CTDC_hydrophobicity_ZIMJ680101.G3,207
179,CTDC_hydrophobicity_PONP930101.G1,429
180,CTDC_hydrophobicity_PONP930101.G2,715
181,CTDC_hydrophobicity_PONP930101.G3,100
182,CTDC_hydrophobicity_CASG920101.G1,6
183,CTDC_hydrophobicity_CASG920101.G2,1
184,CTDC_hydrophobicity_CASG920101.G3,252
185,CTDC_hydrophobicity_ENGD860101.G1,464
186,CTDC_hydrophobicity_ENGD860101.G2,241
187,CTDC_hydrophobicity_ENGD860101.G3,117
188,CTDC_hydrophobicity_FASG890101.G1,269
189,CTDC_hydrophobicity_FASG890101.G2,427
190,CTDC_hydrophobicity_FASG890101.G3,14
191,CTDC_normwaalsvolume.G1,58
192,CTDC_normwaalsvolume.G2,1
193,CTDC_normwaalsvolume.G3,806
194,CTDC_polarity.G1,81
195,CTDC_polarity.G2,642
196,CTDC_polarity.G3,878
197,CTDC_polarizability.G1,880
198,CTDC_polarizability.G2,379
199,CTDC_polarizability.G3,823
200,CTDC_charge.G1,169
201,CTDC_charge.G2,459
202,CTDC_charge.G3,399
203,CTDC_secondarystruct.G1,527
204,CTDC_secondarystruct.G2,454
205,CTDC_secondarystruct.G3,130
206,CTDC_solventaccess.G1,161
207,CTDC_solventaccess.G2,461
208,CTDC_solventaccess.G3,137
209,CTDD_hydrophobicity_PRAM900101.1.residue0,911
210,CTDD_hydrophobicity_PRAM900101.1.residue25,690
211,CTDD_hydrophobicity_PRAM900101.1.residue50,1080
212,CTDD_hydrophobicity_PRAM900101.1.residue75,601
213,CTDD_hydrophobicity_PRAM900101.1.residue100,121
214,CTDD_hydrophobicity_PRAM900101.2.residue0,488
